No	Na	x	y	z	Cl	x	y	z
228	23.776750	9.048664	-3.918101	21.635712	4.536887	3.041393	-2.741750	-1.953481
229	20.307152	-1.121067	18.509104	8.278689	26.671916	-2.039752	24.112944	-11.215902
230	18.084096	15.505145	5.876597	7.217382	15.639026	-14.651194	3.385077	4.296849
231	28.622460	14.912206	24.066458	-4.204397	14.871831	-6.108860	-13.557839	-0.195367
232	22.525008	-14.853643	-8.158966	-14.838347	19.809211	14.253990	11.878215	6.938055
233	9.520815	5.798806	7.400261	-1.501968	17.342466	17.087257	2.301978	-1.867524
234	22.164017	-12.047523	-18.428711	2.546266	9.300394	-6.174031	0.705767	6.919578
235	21.597259	-15.726916	-11.908582	-8.791551	28.008024	-17.568674	15.891727	14.941356
236	9.492509	-8.248491	-4.621320	0.844704	11.104691	-0.246055	-11.100446	0.183654
237	24.847449	-1.833203	12.068842	-21.642046	12.031240	0.510147	4.276272	11.234055
238	15.243031	5.349771	7.688366	-12.025763	21.637429	-12.833637	-0.454644	17.414631
239	18.447856	10.654500	-14.881656	2.311135	24.205675	-0.069408	21.376085	11.356622
240	7.396309	-3.100582	-2.867684	-6.071916	6.552921	-3.588758	3.592681	-4.141766
241	14.507002	13.513129	-3.094050	4.274961	17.891980	-8.485207	-12.832629	9.134979
242	12.509409	7.662540	-9.015327	-4.061363	20.203417	-3.499537	-15.248890	12.782906
243	23.214461	11.510316	-20.103403	1.508978	23.063610	1.626910	19.670048	11.931995
244	30.445926	-17.745323	-13.168832	-20.943729	5.627634	-2.851929	-4.768924	-0.891139
245	35.693272	-14.798155	-31.975853	5.706937	13.217049	2.386365	11.352343	-6.334033
246	7.534653	5.118077	2.468822	-4.947848	21.338291	-9.679940	15.309756	-11.279752
247	40.136280	-9.180375	5.801641	-38.639133	11.193527	3.065302	-8.651301	6.407336
248	6.391989	1.975642	-2.251588	-5.646656	11.251822	-5.424566	8.503605	-4.986610
249	17.776491	9.001122	0.780623	15.309280	16.488203	-13.024944	4.192840	-9.199552
250	28.462330	0.312047	-25.552767	12.532475	11.218810	-2.095918	-7.618423	-7.964198
251	15.732103	2.113342	3.262917	15.244220	17.331214	-11.182455	-1.773544	-13.121670
