No	Na_eng	Na_rad	Cl_eng	Cl_rad
1542	0.009622	0.577162	0.014010	0.799222
1543	0.007335	0.577134	0.012015	0.799188
1544	0.022674	0.577322	0.010216	0.799158
1545	0.019149	0.577279	0.015129	0.799241
1546	0.009232	0.577158	0.011206	0.799175
1547	0.015589	0.577235	0.016453	0.799263
1548	0.012369	0.577196	0.008689	0.799132
1549	0.012827	0.577201	0.021923	0.799356
1550	0.009783	0.577164	0.011796	0.799185
1551	0.014691	0.577224	0.020274	0.799328
1552	0.017776	0.577262	0.019340	0.799312
1553	0.010379	0.577172	0.020409	0.799330
1554	0.009172	0.577157	0.012115	0.799190
1555	0.015443	0.577233	0.013032	0.799206
1556	0.015757	0.577237	0.025753	0.799421
1557	0.011233	0.577182	0.009282	0.799142
1558	0.017058	0.577253	0.016087	0.799257
1559	0.013044	0.577204	0.010377	0.799161
1560	0.014631	0.577224	0.008326	0.799126
1561	0.029916	0.577410	0.022905	0.799372
1562	0.015295	0.577232	0.017869	0.799287
1563	0.017676	0.577261	0.006292	0.799092
1564	0.018947	0.577276	0.006017	0.799087
1565	0.020644	0.577297	0.020351	0.799329
1566	0.007741	0.577139	0.010884	0.799169
1567	0.008265	0.577146	0.013504	0.799214
1568	0.012206	0.577194	0.013971	0.799221
1569	0.009977	0.577167	0.025719	0.799420
1570	0.012470	0.577197	0.023951	0.799390
1571	0.011208	0.577182	0.015839	0.799253
1572	0.019810	0.577287	0.010460	0.799162
1573	0.012750	0.577201	0.017577	0.799282
1574	0.021182	0.577303	0.009701	0.799149
1575	0.014942	0.577227	0.015920	0.799254
1576	0.013344	0.577208	0.016658	0.799267
1577	0.012702	0.577200	0.010683	0.799166
1578	0.014983	0.577228	0.017336	0.799278
1579	0.018678	0.577273	0.016020	0.799256
1580	0.014687	0.577224	0.010994	0.799171
1581	0.012634	0.577199	0.011937	0.799187
1582	0.012877	0.577202	0.014520	0.799231
1583	0.006120	0.577120	0.019214	0.799310
1584	0.011776	0.577189	0.016515	0.799264
1585	0.022998	0.577326	0.017039	0.799273
1586	0.017054	0.577253	0.013423	0.799212
1587	0.033222	0.577451	0.023857	0.799389
1588	0.018855	0.577275	0.015526	0.799248
1589	0.010692	0.577175	0.011032	0.799172
1590	0.008943	0.577154	0.008588	0.799130
1591	0.026070	0.577363	0.013622	0.799216
1592	0.024059	0.577339	0.020614	0.799334
1593	0.023776	0.577335	0.020069	0.799325
1594	0.011109	0.577181	0.015097	0.799240
1595	0.011463	0.577185	0.012879	0.799203
1596	0.010190	0.577169	0.021697	0.799352
1597	0.024462	0.577344	0.013714	0.799217
1598	0.018099	0.577266	0.022010	0.799357
1599	0.009435	0.577160	0.006588	0.799097
1600	0.008166	0.577145	0.023616	0.799384
1601	0.022293	0.577317	0.006323	0.799092
1602	0.023584	0.577333	0.018322	0.799295
1603	0.019407	0.577282	0.009572	0.799147
1604	0.019148	0.577279	0.017297	0.799278
1605	0.027141	0.577376	0.020238	0.799327
1606	0.021937	0.577313	0.026212	0.799428
1607	0.018720	0.577273	0.014849	0.799236
1608	0.025583	0.577357	0.013398	0.799212
1609	0.009827	0.577165	0.023789	0.799387
1610	0.023994	0.577338	0.022429	0.799364
1611	0.018329	0.577269	0.023414	0.799381
1612	0.020883	0.577300	0.019877	0.799321
1613	0.016779	0.577250	0.016760	0.799269
1614	0.017957	0.577264	0.013004	0.799205
1615	0.018636	0.577272	0.012183	0.799191
1616	0.028939	0.577398	0.021523	0.799349
1617	0.017364	0.577257	0.011524	0.799180
1618	0.014570	0.577223	0.024160	0.799394
1619	0.018900	0.577276	0.006884	0.799102
1620	0.019396	0.577282	0.018458	0.799297
1621	0.019027	0.577277	0.017950	0.799289
1622	0.011902	0.577190	0.031291	0.799514
1623	0.014921	0.577227	0.020886	0.799338
1624	0.006431	0.577123	0.019853	0.799321
1625	0.018267	0.577268	0.013468	0.799213
1626	0.014970	0.577228	0.006578	0.799097
1627	0.022614	0.577321	0.019956	0.799323
1628	0.014870	0.577226	0.017953	0.799289
1629	0.015789	0.577238	0.008528	0.799129
1630	0.019682	0.577285	0.022334	0.799363
1631	0.019141	0.577279	0.012308	0.799193
1632	0.019567	0.577284	0.012500	0.799197
1633	0.021758	0.577311	0.011895	0.799186
1634	0.018578	0.577272	0.016947	0.799272
1635	0.013605	0.577211	0.030645	0.799503
1636	0.022828	0.577324	0.020439	0.799331
1637	0.025510	0.577356	0.026712	0.799437
1638	0.020481	0.577295	0.018923	0.799305
1639	0.020572	0.577296	0.018824	0.799303
1640	0.021494	0.577307	0.026558	0.799434
1641	0.012955	0.577203	0.012880	0.799203
1642	0.012047	0.577192	0.028172	0.799461
1643	0.013428	0.577209	0.019138	0.799309
1644	0.013399	0.577209	0.021401	0.799347
1645	0.009804	0.577165	0.026571	0.799434
1646	0.029571	0.577406	0.025776	0.799421
1647	0.015469	0.577234	0.011041	0.799172
1648	0.012274	0.577195	0.028206	0.799462
1649	0.022319	0.577317	0.012788	0.799201
1650	0.047259	0.577622	0.022781	0.799370
1651	0.013038	0.577204	0.009788	0.799151
1652	0.015889	0.577239	0.023499	0.799382
